DATE OCC,Crm Cd Desc,AREA NAME,Status Desc,TIME OCC,quater
04/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1600,2020Q2
06/12/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q2
02/24/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1400,2020Q1
06/30/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q2
02/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,500,2020Q1
11/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1400,2020Q4
11/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Other,1900,2020Q4
09/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q3
07/18/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,2100,2020Q3
03/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q1
10/21/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2330,2020Q4
08/18/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Other,1900,2020Q3
05/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,600,2020Q2
11/15/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q4
06/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2115,2020Q2
11/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1430,2020Q4
05/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1500,2020Q2
03/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1530,2020Q1
12/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q4
12/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,300,2020Q4
10/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,450,2020Q4
06/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1400,2020Q2
03/14/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,200,2020Q1
07/18/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q3
10/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q4
02/21/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,345,2020Q1
10/24/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q4
10/08/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1845,2020Q4
05/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,600,2020Q2
03/23/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1830,2020Q1
08/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1520,2020Q3
07/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q3
12/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q4
04/24/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q2
03/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,530,2020Q1
04/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q2
08/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1930,2020Q3
04/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q2
11/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,900,2020Q4
11/18/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q4
12/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q4
10/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,430,2020Q4
01/09/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,600,2020Q1
06/21/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,200,2020Q2
05/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,500,2020Q2
08/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q3
09/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1600,2020Q3
06/24/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q2
09/24/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1830,2020Q3
06/14/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q2
07/21/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1735,2020Q3
10/06/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,430,2020Q4
04/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1300,2020Q2
12/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2330,2020Q4
12/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1,2020Q4
02/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q1
02/21/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q1
06/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1630,2020Q2
06/17/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q2
05/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2230,2020Q2
07/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q3
10/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,1055,2020Q4
05/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1200,2020Q2
01/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1650,2020Q1
05/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q2
10/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1915,2020Q4
11/22/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q4
05/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q2
08/15/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q3
02/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,130,2020Q1
